category,city,country,description,image_url,sentiment,title,url
finance,Mumbai,india,"'Value investing has become less relevant in last 5 years'The Demonetisation of 2016, the GST of 2017, the collapse of IL&FS of 2018 and the continued support by the political class of the real estate sector has led to a sharp slowdown in the Indian economy a…","https://img.etimg.com/thumb/msid-76398093,width-1070,height-580,imgsize-146101,overlay-etwealthmutualfunds/photo.jpg",0.051388888888888894,'Value investing has become less relevant in last 5 years',https://economictimes.indiatimes.com/mf/analysis/over-past-5-years-value-investing-has-become-less-relevant-says-ajit-dayal/articleshow/76398015.cms
finance,Mumbai,india,‘The only impact on profitability because of Covid-19 is the higher amount of provisioning’,"https://img.etimg.com/thumb/msid-75995388,width-1070,height-580,imgsize-523978,overlay-etmarkets/photo.jpg",0.125,Expect most customers to start paying once moratorium is lifted: Keki Mistry,https://economictimes.indiatimes.com/markets/expert-view/expect-most-customers-to-start-paying-once-moratorium-is-lifted-keki-mistry/articleshow/75995387.cms
finance,Mumbai,india,"‘With a Rs 3,30,000 crore backlog, the prospects are very much there.’","https://img.etimg.com/thumb/msid-76262360,width-1070,height-580,imgsize-172527,overlay-etmarkets/photo.jpg",0.26,Look at L&T from a long-term view and avoid knee-jerk reactions: CEO,https://economictimes.indiatimes.com/markets/expert-view/look-at-lt-from-a-long-term-view-and-avoid-knee-jerk-reactions-ceo/articleshow/76262354.cms
finance,Mumbai,india,"The Demonetisation of 2016, the GST of 2017, the collapse of IL&FS of 2018 and the continued support by the political class of the real estate sector has led to a sharp slowdown in the Indian economy and a near-freeze of the banking system for over 2 years.","https://img.etimg.com/thumb/msid-76398093,width-1070,height-580,imgsize-146101,overlay-etwealth/photo.jpg",0.025000000000000005,"Over past 5 years, value investing has become less relevant, says Ajit Dayal",https://economictimes.indiatimes.com/mf/analysis/over-past-5-years-value-investing-has-become-less-relevant-says-ajit-dayal/articleshow/76398942.cms
finance,Mumbai,india,"‘With lower oil prices in place, we do not believe we will lose money flying at reduced capacity’","https://img.etimg.com/thumb/msid-75870850,width-1070,height-580,imgsize-196577,overlay-etmarkets/photo.jpg",0.0,Possible to deal with complexity of fares and routes: SpiceJet CMD,https://economictimes.indiatimes.com/markets/expert-view/possible-to-deal-with-complexity-of-fares-and-routes-spicejet-cmd/articleshow/75870799.cms
finance,Mumbai,india,‘A crisis gives Nestle a great opportunity to recalibrate the portfolio.’,"https://img.etimg.com/thumb/msid-76091143,width-1070,height-580,imgsize-285958,overlay-etmarkets/photo.jpg",0.8,Rural India will revive a bit better than urban markets: Nestle CMD,https://economictimes.indiatimes.com/markets/expert-view/rural-india-will-revive-a-bit-better-than-urban-markets-nestle-cmd/articleshow/76091159.cms
finance,Mumbai,india,"The lockdown has so far lead to nothing productive. Whether it's professional or personal, the quarantine fatigue has kicked in.  People across the globe are tired of watching the same news around Coronavirus over and over again.While some are criticising the…",https://im.indiatimes.in/content/2020/May/FBImage-8_5ecd06265558f.jpg,0.1,"While We Watch Our Favourite Shows, Salman Khan Is Giving Us Work Goals From His Panvel Farmhouse",https://www.indiatimes.com/entertainment/celebs/while-we-netflix-chill-amid-lockdown-here-are-9-things-salman-khan-has-created-at-his-panvel-farmhouse-so-far-514158.html
cases,Mumbai,india,"The whole point of the severe lockdown that started on March 25 was to use the period to expand the country’s health infrastructure as needed. Yet here we are more than two months on, with...",https://static.toiimg.com/imagenext/toiblogs/photo/blogs/wp-content/uploads/2018/04/100x100-Quick-Edit-1.png,0.2,Quick Edit: Dangerous to not test the asymptomatic,https://timesofindia.indiatimes.com/blogs/toi-editorials/its-dangerous-to-deny-testing-of-asymptomatic-covid-19-patients/
cases,Mumbai,india,The court noted that the circular issued by the Brihanmumbai Municipal Corporation (BMC) was in consonance with law and the civic agency had all authority and power to designate burial grounds and cemeteries to dispose of bodies of such patients.,"https://img.etimg.com/thumb/msid-75890202,width-1070,height-580,imgsize-205260,overlay-economictimes/photo.jpg",0.0,No evidence to show COVID-19 spreads through corpses: Mumbai HC,https://economictimes.indiatimes.com/industry/healthcare/no-evidence-to-show-covid-19-spreads-through-corpses-mumbai-hc/articleshow/75889720.cms
cases,Mumbai,india,"In every briefing since January on the evolving Covid 19 crisis, the WHO Chief mentions the need for global solidarity to deal with a catastrophe of this nature. National unity and global solidarity remain the...",https://static.toiimg.com/imagenext/toiblogs/photo/blogs/wp-content/uploads/2017/12/Boria-Mazumdar.jpg,0.0,Blog: Amphan tragedy needs more attention,https://timesofindia.indiatimes.com/blogs/flavours-of-kolkata/bengals-amphan-tragedy-needs-more-national-and-global-attention/
